,TIC,LSper,LSamp,LSmed,LSstd,acf_pk,acf_per,bls_per,bls_ampl,ecl_num,ecl_dep
14417,306826065,0.7412294137426185,0.0963967632561219,0.0011320688355693687,0.008966374317538215,0.016958517289096798,0.7291543255860233,0.7402429613123694,31.064731666039236,-1.0,-1.0
14418,281597433,1.061018710835477,0.05403189652033638,0.0011994535182082507,0.00022057500509907568,0.006581075377262823,2.3909211312068237,4.048284234449401,45.109077239453235,18.0,-0.05644713545528542
14419,262106555,4.820264227678082,0.004853155313184449,0.0002066267457920298,3.462053959661565e-05,0.004699210189807072,2.3110276334919035,-1.0,-1.0,-1.0,-1.0
14420,311410850,1.4666549563157147,0.10825654733089321,0.00014493105177421501,0.004391914012942976,0.09019537563863905,1.4701451820383227,-1.0,-1.0,-1.0,-1.0
14421,141769434,5.676066544680435,0.47411051463059556,5.3494941327266663e-05,0.003304162628383761,0.5313132164428995,5.935306472079219,6.036161896631098,32.62917373322586,-1.0,-1.0
14422,322048605,1.6147844009379082,0.07540037688812949,0.00041258953850766564,0.00025995552836951245,0.09604038565501143,3.0749626442602676,13.24740140564536,41.83987845314642,11.0,-0.0919925702728797
14423,294093824,0.1357811738145135,0.6485788957293653,0.00019725641220264093,0.0004840218479888636,0.02246580264936157,0.6944479407593462,0.27152099338445157,49.76307866169441,-1.0,-1.0
14424,204326686,0.642004050407754,0.0009712339789885361,0.00012600909817834981,8.832722634342947e-05,-6.408040853792054e-05,2.0214805145426453,-1.0,-1.0,-1.0,-1.0
14425,279249190,2.8719073350570254,0.25347707987522367,6.883681178316196e-05,0.0010435943676767102,0.3136129596136672,2.8521017566993123,-1.0,-1.0,-1.0,-1.0
14426,358252650,7.159047584539421,0.0010652991181836712,7.920109255538721e-05,9.066925873202458e-05,0.0024174543255948604,2.4083569648109915,-1.0,-1.0,-1.0,-1.0
14427,219998089,3.104275043456175,0.16797080667213074,0.00011647984428545665,0.004466290714790999,0.2909464919318155,3.102772333494613,3.086759766472984,242.19629582618884,8.0,-0.2937267049989145
14428,228571355,0.8347933468293489,0.006576222963603249,0.00034826485859359226,0.00019068204112138566,0.002037084448744887,1.674299530835924,-1.0,-1.0,-1.0,-1.0
14429,33839863,6.033125859265016,0.0026207231784056567,7.682569571066273e-05,0.00028741684209236207,-0.001386361485576674,5.456164054396368,-1.0,-1.0,-1.0,-1.0
14430,33880746,6.033108141452001,0.03520718646708731,0.00010471684903790284,0.00016231874707515844,0.020202113648782716,6.3290465466511705,-1.0,-1.0,-1.0,-1.0
14431,12422437,2.635189344736795,0.0013088915433916036,7.793752807134981e-05,5.189953219150475e-05,0.0009652446593466697,3.063164935743771,-1.0,-1.0,-1.0,-1.0
